Video ID,Title,Channel,Published At
qeQwjrTyHmI,AfD lacht Jammer-Grüne aus! #afd #ltnrw,AfD-Fraktion NRW,2024-11-14T18:00:37Z
N7ttxZK_sZI,So steht die AfD zu Israel! #afd #ltnrw,AfD-Fraktion NRW,2024-11-12T18:00:15Z
mqlSpfMVA-U,Harald Schmidt: Beteilige mich nicht an AfD-Bashing @srf,DACH Medien,2024-11-12T18:00:34Z
4DqH17qF0dg,Neuwahlen in Deutschland: Merz schließt Zusammenarbeit mit AfD kategorisch aus,Tagesspiegel,2024-11-13T16:10:33Z
k8Ym2u1miyo,Ueli Maurers Meinung zur AfD &amp; Alice Weidel schockiert! #politik #deutschland #afd,Klartext Finanzen - RealUnit Schweiz AG,2024-11-15T14:00:50Z
8P8L4_qMLdg,Die Presse sollte sich schämen🇩🇪🦅💙💙 #afd #politik #bundestag #viralvideo,Deutschland,2024-11-19T11:03:39Z
fbB2n6EpoNM,"#Grüne erklären #Zwangsehe und #Frauenrechte (Antwort an Joachim Paul, #AfD-Fraktion RLP)",AfD-Fraktion Rheinland-Pfalz,2024-11-26T15:00:36Z
18jmqOLxvXQ,"Warum wählt die Jugend AfD? AfD als Arbeiterpartei, SPD für Bürgergeldempfänger (Markus Lanz)",Wohlstand durch Wachstum,2024-11-03T20:27:53Z
tHkJg3iWI0U,GÜNTHER JAUCH bei Wer wird Millionär - AfD Wähler sind Ahnungslose,Oje Deutschland,2024-11-23T17:26:10Z
h9cO4762KiQ,Warum es Zeit für die AfD ist! #afd #ltnrw,AfD-Fraktion NRW,2024-11-20T18:00:33Z
uJzsBmgkUOo,Diese Opfer hätte es nie gegeben! #afd #ltnrw,AfD-Fraktion NRW,2024-11-28T18:00:37Z
IVR5amXDtuU,Gefährden die Eliten die Demokratie? @ServusTV #donaldtrump #afd,DACH Medien,2024-11-16T11:00:29Z
RKnrixX8bDM,64% denken das über Habeck!  #afd #ltnrw,AfD-Fraktion NRW,2024-11-16T18:00:14Z
oGpPcfxh6IU,Es ist eindeutig💯Psychologe enthüllt 💥#afd #selbstbewusstsein,Meet Your Mentor ,2024-11-28T18:11:50Z
ELw5Nv6Mcyo,3. Corona-Symposium – Tag 1 – AfD-Fraktion im Bundestag,AfD-Fraktion Bundestag,2024-11-03T10:00:06Z
bcbnl1E03Ic,#SPD: Alle sind dumm #Esken #Kühnert #Faeser #Klingbeil #Lanz #europawahl #AfD #Bröcker #ZDF #ARD,Berlin360°,2024-11-02T21:59:50Z
eJnkOdveN8Q,❌Weidel: Freiheit &amp; Änderung nur ☝🏻 mit der AFD❌ #aliceweidel #afd #politik #spd #scholz #fdp #merz,Rich Kids of Wall Street ,2024-11-25T17:21:44Z
G5nQ39-0290,AFD-Politiker zerstört Merz #merz #friedrichmerz #afd #cdu,Red Scorpion,2024-11-24T09:00:13Z
qxLDFx3eVHg,Alice Weidel - AFD - Vertrauensfrage sofort,Alienjäger02,2024-11-07T20:08:36Z
Jc8HtBFyVoU,So zerstört man die AfD!,Volksverpetzer,2024-11-01T15:37:08Z
xmvGVDoo3as,🔴GYSI hat angst vor der AFD🔵 #afd #dielinke #fdp #politik #scholz #sdp #news #nachricht #ytshorts,Rich Kids of Wall Street ,2024-11-16T08:54:58Z
jHHD8_Co8pM,"Ampelzirkus, das war der letzte Akt - Lied #heimatliebe #afd #musik #schlager",Deutsche Kultur,2024-11-08T20:11:28Z
Vyd3J3hNu5c,Der Antrag ist da! Kommt jetzt das AfD-Verbot?,(R)ECHT INTERESSANT!,2024-11-14T07:40:44Z
3T67ySbQ1cM,#markussöder gegen die #afd #bundestag #ampel #news #ampelaus #deutschland #söder,Bundesclipminister,2024-11-21T07:37:43Z
Fp2W4GI_CB8,Nicht alle gedenken den Gefallenen #Volkstrauertag #afd,Joachim Paul AfD,2024-11-17T05:34:40Z
x8Jf6X3q-Lg,Die AfD profitiert: Wie weit wird die Unzufriedenheit der Wähler tragen? @focusonline,DACH Medien,2024-11-14T14:00:58Z
B7s-FQTBtZI,Weidel Statement zu Olaf Scholz #shorts #afd #statement,Country Types,2024-11-07T17:10:03Z
Kt10UVXH8lc,ÖRR-Moderator BLAMIERT sich! #afd #shorts,Deutsche Politik,2024-11-13T17:58:00Z
4wCkS4XZHI0,Dr. Alice Weidel fordert Neuwahlen 2024!!  | AfD PK |  #politik #afd,Ventus | Wind gegen Links,2024-11-06T09:30:02Z
wUHVTlix_Ek,Die AfD instrumentalisiert Kinder #afd #weidel #chrupalla,Schizos Woche,2024-11-13T19:29:06Z
Zioo8T1ijpM,5 absurde Fakten über Alice Weidel. #afd #bundestag #Bundeskanzler #aliceweidel,Tägliche Videos ,2024-11-21T11:35:35Z
GM8ZeelDEIU,AfD will deutsche Staatsbürger abschieben #afd,Schizos Woche,2024-11-27T16:29:47Z
cxb33kMeWGo,#alice #weidel #friedrichmerz #merz #scholz #afd #politik #news #ampel,POLITIK_24_7,2024-11-14T11:23:42Z
ICVS_9QGprs,💥AFD: Die Wahrheit über Flüchtlinge in Deutschland!😱 #afd #flüchtlinge #migranten #remigration,Stich NEWS,2024-11-19T18:37:45Z
DPo_nYV_PGs,Insolvenzen im Juli: Rekordhöhe und dramatische Zahlen #politik #afd #wirtschaftskrise,Xyz,2024-11-21T15:49:03Z
_qxXe6g20Z4,Kann die #afd diese schweren aufgaben lösen? Zusammenarbeit mit der #union möglich?,Deutsche_Politik,2024-11-12T12:00:51Z
fnW_Jt_NFKU,Das VW-Desaster: Eine Krise für Hunderttausende Familien #afd #politik 💙🔥,Xyz,2024-11-21T16:42:31Z
frPrJtXqJ6A,#shorts #merz #afd #bundestag #neuwahlen,Blickpunkt,2024-11-12T23:43:57Z
o-KSai7KQaw,Ist Wagenknecht eine Kommunistin? #politik #afd #bundestag #ampel #deutschland #cdu #bsw #migration,Politikverständnis,2024-11-24T11:00:50Z
c1L71xHzUsw,#afd auf dem Weg zum Direktmandat Erfolg,kitchen news,2024-11-28T07:39:32Z
e7HB8fwc_oc,Tino Chrupalla über Merz #tinochrupalla #merz #afd #cdu,Red Scorpion,2024-11-16T14:00:42Z
5Iz0oHgfsSQ,Alice Weidel (AfD) über die Ampel-Regierung | #afd #ampel #aliceweidel #ampelregierung,Odenwald Kanal,2024-11-13T19:06:11Z
PhdQm3-42T4,Wie gefährlich ist die AfD?,Zentrum für Politische Schönheit,2024-11-21T08:30:48Z
8G3bRdsRFa8,Demokratie: Minderheitenrechte im Bundestag Ignoriert? #afd #politik 😱🔥💙,Xyz,2024-11-23T10:43:10Z
Mc5poIIaR_8,Nur die AfD steht für echte Veränderung! #afd #afddeutschland,"Sebastian Münzenmaier, MdB",2024-11-07T13:22:42Z
AApCpjWTqik,Beatrix von Storch macht eine Klare Ansge im Bundesrag💙💙 #afd #politik #regierung #ampel #viral,Deutschland,2024-11-14T16:12:26Z
PXfqdu5xBfw,"Hat Freu Weidel recht, und was meint ihr dazu ? #afd #aliceweidel #ampelaus",Deutsche_Politik,2024-11-09T15:04:58Z
UnEWiP0bsVE,Christoph Sieber zum AfD Verbot | Mitternachtsspitzen 23.11.2024,sympathich,2024-11-25T19:14:46Z
bXO0NTxFEFA,Ach...das ist doch rechtes Geschwurble 🤡 #afd #fpö #grüne,Adlers Anstalt,2024-11-06T06:09:00Z
e-6cnScyLsY,Wissing tritt aus #shorts #shortsfeed #shortvideo #afd #politik #deutsch #foryou #fyp #wissing,Ruben Rupp AfD,2024-11-08T12:24:21Z
3N-4XIx1fGY,"Für die ja, für uns nein 👀 #afd #fpö #ukraine",Adlers Anstalt,2024-11-09T13:09:00Z
Ov4CemNWZFs,Merz wird entlarvt #merz #afd #cdu,Red Scorpion,2024-11-25T16:42:49Z
INUXfD0TOro,Friedrich Merz hat den Kurs korrigier #afd #cdu #csu  #bsw #fdp #merz #politik #grüne #spd #lindner,Politik,2024-11-21T06:46:05Z
xFfvuIed7IQ,#shorts #shortsfeed #shortvideo #afd #fpö #politik #deutsch #foryou #fyp #flüchtlinge #trending,Adlers Anstalt,2024-11-10T12:08:00Z
