words,numbers
future,129
klima,29
demo,29
greta,27
klimaschutz,22
thunberg,21
friday,18
schule,17
klimastreik,17
danke,16
2019,15
einfach,15
schüler,15
zukunft,14
co2,14
forderungen,13
demonstrieren,12
fridaysforfuture,12
berlin,12
interview,10
rede,10
menschen,10
jugend,9
streiken,9
politik,9
hamburg,8
fff,8
mainz,8
leute,8
lächerlich,7
aachen,7
unterstützen,7
stuttgart,7
2020,7
beitrag,7
ferien,6
climate,6
protest,6
bewegung,6
aktivisten,6
köln,6
deutschland,6
corona,6
videos,6
mettmann,6
zeiten,5
gesehen,5
regierung,5
flughafen,5
demos,5
fightfor1point5,5
schwänzen,5
welt,5
klimapolitik,5
livestream,5
demonstriert,5
fliegen,5
proteste,5
unterwegs,5
meinung,5
dortmund,5
lernen,4
klimawandel,4
reporterin,4
wien,4
demonstrationen,4
eu,4
kämpfen,4
arbeiten,4
umwelt,4
straße,4
live,4
straßen,4
zieht,4
politikern,4
schön,4
rwe,4
schwachsinn,4
jugendliche,4
generation,4
bitte,4
kohle,4
wichtig,4
hannover,4
umweltschutz,4
diesel,4
kinder,4
voller,4
engagement,4
arbeit,4
klimaproteste,4
siemens,4
schinkel,4
