year_month_day,video_count
2019-05-03,1
2019-05-05,3
2019-05-09,2
2019-05-16,1
2019-05-20,1
2019-05-22,4
2019-05-23,1
2019-05-24,4
2019-05-26,2
2019-06-15,1
2019-06-17,1
2019-06-21,6
2019-06-29,1
2019-07-05,1
2019-07-12,2
2019-07-13,1
2019-07-15,2
2019-07-26,3
2019-08-01,1
2019-08-02,4
2019-08-03,2
2019-08-04,1
2019-08-09,1
2019-08-14,1
2019-08-16,1
2019-08-22,1
2019-08-23,1
2019-08-28,2
2019-08-31,1
2019-09-11,1
2019-09-17,1
2019-09-19,1
2019-09-20,9
2019-09-21,1
2019-09-22,2
2019-09-23,1
2019-09-24,1
2019-09-25,1
2019-09-27,1
2019-09-28,1
2019-10-01,1
2019-10-02,1
2019-10-03,1
2019-10-04,2
2019-10-07,1
2019-10-08,1
2019-10-14,1
2019-10-15,1
2019-10-25,1
2019-11-15,1
2019-11-22,1
2019-11-29,6
2019-11-30,3
2019-12-02,1
2019-12-13,1
2019-12-20,1
2019-12-28,1
2019-12-29,1
2019-12-30,1
