Date,Cities,Participants
2019-01-18,50 locations,25000
2019-01-25,Berlin,10000
2019-02-01,25 locations,12000
2019-02-08,50 locations,21000
2019-02-15,Over 35 locations,26000
2019-03-15,"Nationwide, 230 locations[156]",300000
2019-03-29,Berlin and other cities,40000
2019-04-05,"Neubrandenburg, Greifswald, Schwerin",300+
2019-04-12,Berlin and other cities,1000+
2019-05-11,Konstanz,500+
2019-05-24,Nationwide,320000
2019-06-21,Aachen,40000[299][300]
2019-06-28,Berlin,500[301]
2019-07-05,Cologne,500[303]
2019-07-19,"Invalid's Park, Berlin",
