words,numbers
future,131
demo,31
klima,29
greta,27
klimaschutz,22
friday,20
klimastreik,19
thunberg,19
schule,17
schüler,15
zukunft,15
2019,15
fridaysforfuture,15
danke,15
berlin,14
einfach,14
co2,13
forderungen,13
demonstrieren,11
interview,10
rede,10
streiken,10
politik,9
aktivisten,9
menschen,8
hamburg,8
leute,8
jugend,8
mainz,8
fff,8
unterstützen,7
stuttgart,7
aachen,7
livestream,7
2020,7
ferien,6
deutschland,6
beitrag,6
demos,6
lächerlich,6
meinung,6
corona,6
bewegung,6
köln,6
mettmann,6
videos,6
protest,5
regierung,5
fightfor1point5,5
echt,5
zeiten,5
fliegen,5
flughafen,5
welt,5
klimawandel,5
demonstrationen,5
schwänzen,5
klimapolitik,5
proteste,5
dortmund,5
bitte,5
demonstriert,5
bundestag,5
climate,5
lernen,4
münster,4
streik,4
wien,4
eu,4
reporterin,4
kämpfen,4
19,4
umwelt,4
live,4
straßen,4
zieht,4
politikern,4
schön,4
tausende,4
gesehen,4
arbeiten,4
rwe,4
umweltschutz,4
hannover,4
wichtig,4
voller,4
unterwegs,4
jugendliche,4
klimaproteste,4
engagement,4
diesel,4
generation,4
arbeit,4
siemens,4
schinkel,4
