Video ID,Title,Channel,Published At
BofPPYIRvRs,#AfD Wahlwerbespot zur Bundestagswahl 2025 💙,Dirk Brandes - MdB,2025-01-25T15:13:26Z
hc5TR-HLSBA,Warum AfD-Wähler nicht von der Partei profitieren würden #Afd #wähler,MDR Aktuell,2025-02-28T11:01:08Z
m9byYrTRY20,Lasst uns mit AfD-Wählern sprechen! #AfD #Politik #Partei,MDR Aktuell,2025-02-27T13:01:15Z
5fceejLYXrs,Nichts verfassungsfeindliches im AfD-Programm - Richard David Precht @HotelMatze,DACH Medien,2024-12-11T16:00:07Z
smudpUcRqSo,Lanz: Die AfD will die Union zerstören | #Podcast #Lanz #Precht #CDU #AfD,ZDFheute Nachrichten,2025-02-08T10:01:01Z
N95XWhFNmT0,Motorschaden gegen AfD-Parteitag | SPIEGEL TV Shorts,DER SPIEGEL,2025-01-17T05:00:19Z
iS21Z6QXvPg,Das Wahlprogramm der AfD erklärt | Bundestagswahl 2025,MrWissen2go,2025-02-05T16:30:11Z
evcBwxDQ7Is,Was denken junge Menschen über die AfD? @bayerischerrundfunk,DACH Medien,2025-02-25T14:00:49Z
I50BIFnHpKk,AfD-Kanzlerkandidatin Alice #Weidel im Gespräch mit Gabor Steingart. #AfD #Krah #Feminismus,The Pioneer,2025-01-16T18:18:17Z
uPPevN631bk,"Vier Fragen, 15 Sekunden Zeit zu antworten – Alice Weidel, AfD",tagesschau,2025-02-21T12:01:27Z
pLk_bVuqdTA,"Lebensgefahr in 2,50 Meter Höhe – Protest gegen AfD-Parteitag | SPIEGEL TV Shorts",DER SPIEGEL,2025-01-16T05:00:46Z
J7DO7yMTpi4,AfD = Aufrüsten für Donald!🤷🏼‍♂️#bsw #wagenknecht #reaction #Aufrüstung #Skandal #weidel #trump #afd,Sahra Wagenknecht,2025-01-19T17:06:20Z
TmhGYE4JzkQ,Entlarvte Wahlstrategien?  Was bedeutet die AfD für Grüne und SPD - Dieter Nuhr @rbb,DACH Medien,2025-02-08T11:00:36Z
wN0w-JiqOqk,Die AfD im Aufwind? @ZDFheute #markuslanz,DACH Medien,2025-01-22T20:00:35Z
SmFDE00C3Kg,Don&#39;t vote for hatred and discrimination 🙏#Afd #germanelection #germanpolitics #btw25,Feli from Germany,2025-02-07T20:26:40Z
X-MCZsSwuWs,Was ist der Unterschied zwischen „Die Anstalt“ und der AfD? | Die Anstalt,ZDF Satire,2024-12-02T17:00:34Z
wRAvtBZ5eMQ,Wenn &quot;echte&quot; Demokraten zur Störaktion ansetzen 😂 #Afd #brandenburg #potsdam #transformation  #spd,AfD-Fraktion Brandenburg,2025-01-09T12:50:34Z
PBqD5RAQv1E,CDU-Politiker Frei: &quot;Definitiv&quot; keine Koalition mit der AfD | #lanz #short #afd #cdu #migration,ZDFheute Nachrichten,2025-01-30T11:00:36Z
TKnrVFV-huo,Blick auf die Leistung und die Steuerideen der AfD @SWR,DACH Medien,2025-02-11T16:00:27Z
BPx8lS8K_BE,Die TikTok Armee der AfD | #shorts,rbb Doku,2025-02-15T11:00:12Z
pmXfy56S220,Undercover in der TikTok-Armee der AfD | WDR Doku,WDR Doku,2025-02-18T17:01:04Z
lZn9PIODeD8,Das Wahlprogramm der AfD kurz erklärt,MrWissen2go,2025-02-13T19:42:32Z
ROe5mAqn-Uo,AfD im Wahlcheck: Wer profitiert – und wer verliert? | extra 3 vom 20.02.2025 · Teil 3 | NDR,extra 3,2025-02-23T16:05:18Z
nCQZOpgx25k,&quot;Dumm so mit der AfD umzugehen&quot;: Wagenknecht empört sich über Debatte 😮 #afd #debate #skandal,Sahra Wagenknecht,2025-01-03T17:04:44Z
Q1Ak-k2G5OU,FCK Merz FCK AFD #fckafd #fckcdu #cdu #afd #shorts #demo #demonstration #fascism #🏳️‍🌈  #ytshorts,BOVIY,2025-02-01T18:32:03Z
UPnIYi6ukvc,Undercover in der AfD-Bubble. | ARD Story: Die TikTok-Armee der AfD | NEUE DOKU,ARD,2025-02-17T09:30:11Z
iy1Ox1tAy7E,Who is voting for Germany’s far-right AfD? | Berlin Briefing Podcast | DW News,DW News,2024-12-24T17:30:06Z
hDtCgLDWBoI,AfD-Realtalk mit Dr. Maximilian Krah,{ungeskriptet} by Ben,2025-01-18T09:00:53Z
yui2U5PUqHY,ROGER BECKAMP (AfD): Migration außer Kontrolle?,Tim Gabel,2025-02-19T17:01:17Z
wZX7dJBCMpk,❌PUTIN BRANDNEU ÜBER AFD❌ #afd #spd #politik #chrupalla #merz #bundestag #scholz #weidel #cdu,Rich Kids of Wall Street ,2025-02-03T09:54:49Z
DK9owO00h8Y,Gregor Gysi Rechnet KNALLHART Mit Der AfD Bei Lanz Ab!,DieLinke,2025-02-07T12:57:20Z
MHg8zeS8gX4,Wie die AfD über Hitler streitet | heute-show #shorts,ZDF heute-show,2025-02-28T16:22:41Z
E5fCMV4Fw-Q,Wer wählt die AfD? | #shorts #politbarometer2go #afd,ZDFheute Nachrichten,2025-02-14T14:00:25Z
nnrDzQiG6Ow,❌JETZT SPRICHT SIE ES AUS❌ #politik #afd #weidel #bundestag #spd #merz #scholz #cdu #lindner,Rich Kids of Wall Street ,2025-01-14T13:00:11Z
mqlSpfMVA-U,Harald Schmidt: Beteilige mich nicht an AfD-Bashing @srf,DACH Medien,2024-11-12T18:00:34Z
Y83s1OKI1mQ,Mit diesem TRICK verharmlost die AfD den Klimawandel #klimawandel #afd #bundestagswahl2025,Quarks Science Cops,2025-02-20T10:00:42Z
aYnnPjzuP-s,Deutschland im Umgang mit der AfD überfordert? @die.weltwoche​,DACH Medien,2025-02-03T17:00:06Z
xIs0BvdG82o,❌GÜNTHER JAUCH GEHT AUF AFD WÄHLER LOS 😳😳😳😳❌ #politik #afd #weidel #bundestag #spd #merz #scholz,Rich Kids of Wall Street ,2025-01-15T21:33:35Z
QrFAp5BZiZQ,"Wie will die AfD DAS finanzieren, Herr Chrupalla?",ARD,2025-02-18T10:00:23Z
Ayn_DgvAfkQ,Gysi und Chrupalla streiten über AfD-Wahlprogramm  | Markus Lanz vom 05. Februar 2025,ZDFheute Nachrichten,2025-02-06T08:00:16Z
uRERKqJptzY,Dieser Türke mit KLAREN WORTEN zur AfD 👏👏🇩🇪🤝💙 #politik #deutschland #afd #demokratie #ampel,"The ""Daily"" German ",2025-01-03T22:40:49Z
fYLRUOsHnlc,Philip Hopf AFD Statement! #hossundhopf #hopf #philiphopf #deutschland #afd #deutsch #weidel,HossHopfBericht,2025-01-23T18:04:46Z
jYmVJZWAFAM,Bundestagswahl: Michel Friedman fordert: &quot;Streitet mit der AfD&quot;,DIE ZEIT ,2025-02-23T21:26:52Z
xkY3SMwGmkw,Die AfD steht für eine Ellenbogengesellschaft#bsw #wagenknecht #maischberger #weidel #afd #musk,Sahra Wagenknecht,2025-01-23T12:15:48Z
gynXfjrAOMs,Wir unterstützen das Zustrombegrenzungsgesetz. Debatte der Grünen und SPD nutzt nur AfD.#bsw #welt,Sahra Wagenknecht,2025-01-31T11:01:28Z
_O3zf8RDq40,Der Afd Talk war ein kompletter Reinfall,Power TJ,2025-01-13T13:00:51Z
4DqH17qF0dg,Neuwahlen in Deutschland: Merz schließt Zusammenarbeit mit AfD kategorisch aus,Tagesspiegel,2024-11-13T16:10:33Z
RVFfrVP4R2E,Was denken Israelis über die AfD? Eine überraschende Perspektive @WELTVideoTV,DACH Medien,2025-02-18T19:00:28Z
Q4qO66UeaXs,Unternehmer zerlegt Weidel #noafd,No AfD,2025-02-13T23:42:37Z
U0iS_-mpw8M,KANZLER DANK DER AFD?: Merz stellt klar: „Wir werden mit denen nicht zusammenarbeiten!“,WELT Nachrichtensender,2025-02-20T20:15:01Z
whBxahDF-pM,BEST OF AFD (ARSCHKARTE FÜR DOOFE) | KALKOFES MATTSCHEIBE | KalkTV,KalkTV,2025-02-20T17:01:09Z
Pd3LE-0n1vw,UNGLAUBLICHE  Entdeckung IN AfD Flyer  gemacht 😂 Kann das noh ZUFALL sein  ? #shorts #afd,EPISCH & STABIL TV | CAMP414,2025-02-10T20:53:59Z
8qE8TkrTCCQ,Ist die AfD eine legitime Alternative? - Bevor du wählst...,SPACE FROGS,2025-02-15T10:00:11Z
Pseu_imA4M0,Anti-AfD Song im ÖRR #afd #örr #wahlkampf,konservativ und frei,2025-02-11T10:28:19Z
uQqLCBtGcTM,FDP-Vize Kubicki findet AfD-Diskussion &quot;merkwürdig&quot; | #ntv,ntv Nachrichten,2025-01-28T11:37:47Z
9QHA2yMmIH8,"Die Grünen tun, was sie der AfD vorwerfen (Prof. Dr. Rieck)",{ungeskriptet} by Ben,2025-02-26T17:00:08Z
m8VF0tH6OD8,Von der SPD zur AfD: »Hier muss richtig aufgeräumt werden« | SPIEGEL TV Shorts,DER SPIEGEL,2025-02-27T07:00:35Z
RUgxdQwqfaE,"Christoph Sieber / AfD Verbot, warum denn eigentlich? / Mitternachtsspitzen",Kleine Affäre,2024-12-14T15:24:01Z
PlyN5l61wZ0,Markus Lanz - Der AFD Wahlsieg wurde hervorgesagt - Gerald Knaus 30.01.2025,Alienjäger02,2025-02-01T19:30:04Z
w5G_44icuFI,Reform Bundesverfassungsgericht - &quot;Versuch die AfD von Richterwahl abzuhalten&quot; @WELTVideoTV,DACH Medien,2024-12-21T08:00:49Z
kS75T40054w,Gewalt hat keinen Platz in der Politik - AfD-Antrag zur Gewalt an Politikern @rtlwest,DACH Medien,2025-02-08T08:00:41Z
tju9hKwE-u8,Die AfD hat den Bundestag verändert.,{ungeskriptet} by Ben,2025-01-25T19:07:12Z
6EiieX6D3Qo,"Wahlsieger CDU, heimliche Gewinner AfD? @newstime.digital",DACH Medien,2025-02-23T23:30:02Z
y7IZCwW-ZmE,»Dann haben wir die absolute Mehrheit«: AfD-Mann Krah im Wahlkampf | SPIEGEL TV Shorts,DER SPIEGEL,2025-02-20T13:01:33Z
qfk82nuiruE,Rassismus vs. Alltagsrassismus #rassismus #afd #btw25,MDR Aktuell,2025-02-27T19:00:40Z
1ay-R6wUhJA,Göç karşıtı AfD&#39;yi destekleyen Türkler,DW Türkçe,2025-02-22T04:00:01Z
4GOXkPhhpZQ,❌DA MUSS SOGAR FRAU WEIDEL LACHEN ❌ #aliceweidel #politik #afd #bundestag #chrupalla #spd #cdu #merz,Rich Kids of Wall Street ,2025-02-22T21:21:07Z
JFt9HGPC-6A,Por qué la ultraderechista AfD no formará parte del gobierno pese a ser segunda fuerza política,DW Español,2025-02-24T00:56:05Z
SKFrOAyb-DU,De blik van extreemrechtse partij AfD op migratie,VPRO Tegenlicht,2025-01-23T09:58:18Z
PhFpI0sqY3Q,Alice Weidel gegen Antifa #afd #politics #aliceweidel #edit,AfD Edits,2025-01-26T11:25:06Z
b6s8SqegLhE,Politiker lernen arabisch #bundestag #politik #nachrichten #neuwahlen #afd,Finanzfuchs,2025-02-14T05:00:39Z
J5z2N9XA3w4,Alle gegen die AFD!#afd#bär#talkshow#ampel#cdu#politik#hartaberfair#deutsch#nachrichten#aktuell#spd,Iris Aschenbrenner,2024-12-05T09:42:20Z
1KB5R3otoSI,AfD leader delivers emotional speech at Magdeburg rally after Christmas market attack,CGTN Europe,2024-12-25T10:55:00Z
JLPPWvzGEdk,AfD stärkste Partei am 23.2? 🤔,Marc Friedrich,2025-02-06T10:21:24Z
XZ5_6aG350A,Alibi Politik #fypシ #afd #cdu #islam #deutsch #deutschland #politik #lustig #religion #ampel #koran,BlueTiger,2024-12-31T00:19:38Z
PC9uZTjQ1Rk,Germany&#39;s far-right AfD co-leader Alice Weidel vows to &#39;close borders completely&#39; | AFP,AFP News Agency,2025-01-11T18:55:01Z
