title,views,likes,comments,upload time
Luisa Neubauer im Interview: Wie war das Treffen mit Kanzlerin Merkel?,174647,3604,0,2020-08-20T14:05:19Z
Greta Thunberg dismisses 'empty words' in new climate crisis appeal,158192,3179,2224,2020-12-10T17:48:04Z
An die Fridays for Future Heuchler,81663,10850,0,2020-01-11T12:11:40Z
"Aufwachen #419: Blackrock, KI & Klima - mit Leonie Bremer (Fridays For Future)",48582,694,219,2020-01-29T01:48:44Z
"Greta Thunberg will ""Fridays for Future"" schützen lassen | Rechtsanwalt Christian Solmecke",27764,1227,470,2020-03-24T17:00:11Z
Greta Thunberg - Hope | #FightFor1Point5,8642,405,0,2020-12-11T10:35:09Z
"Luisa Neubauer: ""Auch die Grünen haben nicht genug fürs Klima getan.""",5603,56,0,2020-02-15T06:16:23Z
Kämpfst du mit uns? #FightFor1Point5 | Fridays For Future,5129,540,199,2020-12-11T10:00:11Z
'Fridays For Future' Activists Circumvent Coronavirus Restrictions | NBC News,4670,41,14,2020-04-24T14:30:50Z
Harte Zeiten für die Lobby | Teil 2 | Fridays For Future #GroßeKohleKoalition,3153,453,52,2020-06-26T10:30:13Z
FridaysForFuture-Aktivistinnen im Interview am 20.08.20. (englisch),2531,48,0,2020-08-20T12:31:55Z
Gemeinsam! Fridays for Future goes Verdi!,2191,91,25,2020-10-30T14:08:21Z
Livestream | NetzstreikfürsKlima,2151,137,2,2020-04-24T14:46:38Z
Tobi Rosswog | Fridays For Future,2137,80,22,2020-04-15T15:14:09Z
Bernd Fiedler von wirmoderieren | Fridays For Future Webinar #WirBildenZukunft,2071,77,1,2020-03-30T15:40:13Z
Prof. Dr. Joachim Curtius (SFF) | Das Carbon-Budget | Fridays For Future,1931,80,3,2020-04-14T16:53:17Z
Clemens Traub über klimapolitische Alternativen zu Fridays for Future am 25.09.20,1786,29,0,2020-09-28T09:32:22Z
Youth Voices for 1.5 | #FightFor1Point5,1723,76,3,2020-12-12T18:57:49Z
🔴 LIVE: #StopDatteln4 – Briefübergabe an die finnische Regierung,1664,194,15,2020-05-18T08:22:45Z
Gemeinsam für eine klimagerechte und zukunftsfähige Landwirtschaft | Fridays For Future,1473,162,27,2020-12-06T18:00:11Z
LIVE: Fridays for Future activists protest in Berlin,1462,35,3,2020-09-25T11:20:17Z
Appell an die EU Kommission 🇪🇺 | Fridays For Future,1385,271,33,2020-05-22T10:46:13Z
Fridays for Future Demo in Mainz,1335,25,9,2020-01-17T14:07:25Z
Fridays for Future meets Politics - heute mit Marco Bülow | Fridays For Future,1318,90,11,2020-05-27T16:23:05Z
Fridays for Future: Mehr als Greta Thunberg?,1256,17,6,2020-01-24T14:20:20Z
#KeinGradweiter: Fridays-for-Future-Fahrraddemo in Kiel,1162,27,9,2020-09-25T14:42:25Z
Großaktion der Fridays for Future in Berlin,1141,56,0,2020-04-25T08:47:03Z
Globaler Klimastreik: Nachhaltig mit den mächtigen Konzernen anlegen,1040,100,22,2020-09-22T06:47:47Z
#FightFor1Point5 around the world | #FightFor1Point5,958,73,8,2020-12-13T11:49:24Z
Fridays for Future meets Politics - heute mit Dr. Anja Weisgerber (CSU),942,48,11,2020-05-20T15:59:46Z
Klima-Demo: Fridays for Future für höheres Klimabudget,908,8,0,2020-02-21T13:32:49Z
Fridays for Future im Taunus | Rückblick zum globalen Netzstreik im April 2020,757,22,11,2020-04-28T16:15:00Z
Livestream zu unseren Forderungen | Fridays for Future Freiburg,751,48,4,2020-11-28T05:32:12Z
Ingo for Future Flashmob von der Ortsgruppe Köln Fridays for Future Demo Mainz 17.1.20,701,25,4,2020-01-19T23:00:26Z
Einjähriges Bestehen: Fridays for Future demonstriert in Paderborn,664,9,0,2020-02-08T10:07:17Z
Klimastreik in Wien,620,16,0,2020-09-28T15:06:37Z
Fridays For Future-Demonstrantin über ihr Jahr,599,7,0,2020-01-03T11:45:27Z
Erste Demo seit Corona | Fahrraddemo von Fridays for Future,588,6,3,2020-09-05T07:47:39Z
