year_month_day,video_count
2019-01-18,1
2019-01-20,1
2019-01-25,1
2019-01-27,1
2019-02-01,3
2019-02-06,1
2019-02-08,4
2019-02-13,2
2019-02-15,1
2019-02-17,1
2019-02-21,2
2019-02-26,1
2019-03-01,4
2019-03-03,1
2019-03-06,1
2019-03-07,1
2019-03-08,2
2019-03-09,1
2019-03-13,2
2019-03-14,5
2019-03-15,19
2019-03-16,2
2019-03-19,1
2019-03-21,1
2019-03-22,2
2019-03-26,1
2019-03-29,1
2019-03-30,1
2019-04-03,1
2019-04-07,1
2019-04-08,4
2019-04-09,2
2019-04-12,4
2019-04-13,1
2019-04-15,2
2019-04-16,1
2019-04-27,2
2019-04-30,1
2019-05-03,1
2019-05-05,3
2019-05-16,1
2019-05-20,1
2019-05-22,3
2019-05-23,1
2019-05-24,5
2019-05-26,2
2019-06-01,2
2019-06-13,1
2019-06-15,1
2019-06-17,1
2019-06-21,5
2019-06-22,1
2019-06-23,1
2019-06-29,1
2019-07-05,1
2019-07-12,2
2019-07-13,1
2019-07-15,2
2019-07-26,3
2019-08-01,1
2019-08-02,4
2019-08-03,3
2019-08-04,1
2019-08-09,1
2019-08-14,1
2019-08-16,1
2019-08-22,1
2019-08-23,1
2019-08-28,2
2019-08-31,1
2019-09-11,1
2019-09-17,1
2019-09-19,2
2019-09-20,13
2019-09-21,1
2019-09-22,2
2019-09-23,1
2019-09-24,1
2019-09-25,1
2019-09-27,1
2019-09-28,2
2019-10-01,2
2019-10-02,1
2019-10-03,1
2019-10-04,2
2019-10-07,1
2019-10-08,1
2019-10-14,1
2019-10-15,1
2019-10-25,1
2019-11-01,2
2019-11-15,1
2019-11-17,1
2019-11-22,1
2019-11-28,1
2019-11-29,9
2019-11-30,3
2019-12-02,1
2019-12-13,1
2019-12-20,1
2019-12-28,1
2019-12-29,1
2019-12-30,1
2020-01-01,1
2020-01-03,4
2020-01-04,5
2020-01-05,1
2020-01-10,2
2020-01-11,2
2020-01-17,2
2020-01-18,2
2020-01-19,2
2020-01-20,2
2020-01-21,2
2020-01-23,2
2020-01-24,1
2020-01-28,1
2020-01-29,1
2020-01-31,2
2020-02-06,1
2020-02-07,1
2020-02-08,1
2020-02-15,1
2020-02-21,1
2020-02-22,2
2020-03-24,1
2020-03-30,1
2020-04-03,1
2020-04-14,1
2020-04-15,1
2020-04-24,6
2020-04-25,1
2020-04-28,1
2020-05-06,1
2020-05-15,1
2020-05-18,1
2020-05-20,1
2020-05-22,2
2020-05-27,1
2020-06-26,1
2020-07-08,1
2020-08-20,2
2020-08-28,1
2020-09-04,1
2020-09-05,1
2020-09-22,1
2020-09-25,6
2020-09-26,5
2020-09-28,4
2020-09-29,2
2020-09-30,1
2020-10-02,1
2020-10-09,1
2020-10-22,1
2020-10-26,1
2020-10-27,1
2020-10-30,1
2020-11-28,1
2020-12-05,1
2020-12-06,1
2020-12-10,1
2020-12-11,2
2020-12-12,1
2020-12-13,1
2020-12-29,1
