year_month_day,video_count
2019-01-18,1
2019-01-20,1
2019-01-25,1
2019-01-27,1
2019-02-01,3
2019-02-06,1
2019-02-08,4
2019-02-13,2
2019-02-15,1
2019-02-17,1
2019-02-21,2
2019-02-26,1
2019-03-01,4
2019-03-03,1
2019-03-06,1
2019-03-07,1
2019-03-08,2
2019-03-09,1
2019-03-13,2
2019-03-14,5
2019-03-15,19
2019-03-16,2
2019-03-19,1
2019-03-21,1
2019-03-22,2
2019-03-26,1
2019-03-29,1
2019-03-30,1
2019-04-03,1
2019-04-07,1
2019-04-08,4
2019-04-09,2
2019-04-12,4
2019-04-13,1
2019-04-15,2
2019-04-16,1
2019-04-27,2
2019-04-30,1
2019-05-03,1
2019-05-05,3
2019-05-16,1
2019-05-20,1
2019-05-22,3
2019-05-23,1
2019-05-24,5
2019-05-26,2
