videoId,publishedAt,period,viewCount,likeCount,commentCount
eN3wrhLqZ4o,2025-09-14 07:14:36+00:00,After Founding,47586,4745,274
4gNdgJlro-w,2025-09-13 07:14:02+00:00,After Founding,21646,2206,141
iSZk3X-2BKI,2025-09-12 13:14:39+00:00,After Founding,25248,2515,137
I5wa38u48U4,2025-09-12 07:15:20+00:00,After Founding,40268,2857,176
F0sqnVTGv10,2025-09-11 17:18:36+00:00,After Founding,123860,8462,543
T0cMioFNJ1k,2025-09-11 07:11:36+00:00,After Founding,24393,1880,172
-Ar6ftwyVwY,2025-09-10 07:10:55+00:00,After Founding,35350,2498,133
i_VgFLoXyqQ,2025-09-09 16:29:26+00:00,After Founding,238547,16070,4082
kG5EwaaJuEQ,2025-09-09 07:14:50+00:00,After Founding,36672,2621,342
S_rolizwenA,2025-09-08 16:46:18+00:00,After Founding,15497,1682,152
DSOa-JviyBQ,2025-09-08 07:18:22+00:00,After Founding,100533,4810,218
zCJAwKV08KY,2025-09-04 17:03:42+00:00,After Founding,179015,12332,5800
Md7X9hnC7U4,2025-09-04 07:12:55+00:00,After Founding,36511,3446,400
co4LDPcUJM4,2025-09-02 15:33:34+00:00,After Founding,23295,2532,640
JCYyn4N4tJU,2025-09-01 15:32:07+00:00,After Founding,19142,1695,337
5W9S9CxwIZc,2025-08-31 16:07:21+00:00,After Founding,80400,6923,285
mDnjyJBKsd4,2025-08-30 08:06:29+00:00,After Founding,18714,1981,1052
TvrOz9-tFvc,2025-08-21 07:04:42+00:00,After Founding,49820,4487,239
WFBQK4JxUYU,2025-08-20 15:20:00+00:00,After Founding,79739,5786,455
LKIMHrYVvOM,2025-08-19 15:23:59+00:00,After Founding,251041,17633,900
xBdmQmLL3q4,2025-08-10 15:55:53+00:00,After Founding,23716,1373,266
7eTjJ1R8ZZg,2025-08-03 16:11:28+00:00,After Founding,32864,2727,3146
5Xxu4bydU60,2025-08-01 15:50:39+00:00,After Founding,25255,2463,738
XZ2JSy_y2uU,2025-07-29 15:29:53+00:00,After Founding,24939,1752,158
VkOwE70hHk0,2025-07-21 07:48:16+00:00,After Founding,102425,8237,631
h44kdBnPkaY,2025-07-17 15:05:46+00:00,After Founding,123686,7386,325
ZfctZnsrJkM,2025-07-16 14:56:33+00:00,After Founding,63640,5265,557
hA7mMeSMyzA,2025-07-14 09:29:58+00:00,After Founding,74144,6013,615
TF1WpiJKA1M,2025-07-10 15:02:17+00:00,After Founding,71967,5950,373
OR_4lgGH0UY,2025-07-08 07:18:36+00:00,After Founding,106345,6695,464
O4iFWEw8w6Q,2025-07-07 15:14:26+00:00,After Founding,53770,3947,278
VLzgTaD7_qU,2025-07-06 14:59:29+00:00,After Founding,518412,16272,299
mNsCDphbE1c,2025-07-05 19:25:08+00:00,After Founding,66457,4961,1394
9wxo_er8m-U,2025-07-05 07:14:19+00:00,After Founding,35912,2284,88
DkHyoLPst00,2025-07-02 07:30:14+00:00,After Founding,48225,3936,305
xZhoF4y7SUk,2025-07-01 15:22:27+00:00,After Founding,80167,5339,4565
Rkp8hJEssQU,2025-06-29 07:28:12+00:00,After Founding,47959,4711,347
Po560dE89XE,2025-06-26 16:28:56+00:00,After Founding,99449,8300,2408
Y9cJWMr1deE,2025-06-25 18:21:01+00:00,After Founding,117812,7686,771
a1V0AMP_F1U,2025-06-22 16:36:02+00:00,After Founding,284545,14535,993
_GVn9m0tDHQ,2025-06-22 06:59:39+00:00,After Founding,56497,4056,186
fH_1pIi7t3I,2025-06-21 07:16:32+00:00,After Founding,45407,3424,160
ElYFmNzqXA8,2025-06-19 07:05:59+00:00,After Founding,83894,4854,272
faDMk_ejymA,2025-06-18 07:03:40+00:00,After Founding,178069,11905,517
TSoJDhL65qk,2025-06-16 15:29:29+00:00,After Founding,46492,3586,204
EWT8N5FqDLA,2025-06-15 10:09:10+00:00,After Founding,194415,9707,581
sBrR1r9tYIY,2025-06-12 16:01:25+00:00,After Founding,102158,8138,3401
ONyIaTOppmo,2025-06-10 07:08:15+00:00,After Founding,40067,1524,168
ZDsGTqEIXUo,2025-06-09 08:54:07+00:00,After Founding,30702,2141,137
WHQDEn05uZM,2025-06-08 15:03:33+00:00,After Founding,25239,2045,96
bMOwPdW-PWE,2025-06-07 09:08:33+00:00,After Founding,31311,2459,143
r000PlQSX4I,2025-06-05 16:10:19+00:00,After Founding,86598,6917,2847
rpq69wlKFGU,2025-06-04 16:12:11+00:00,After Founding,44669,5245,1066
SOwoIyx-grE,2025-06-02 17:18:23+00:00,After Founding,52493,2946,115
imsJbgXaWOw,2025-06-02 07:41:11+00:00,After Founding,162775,9134,649
tqM-HzP8R4E,2025-06-01 07:32:57+00:00,After Founding,122354,7922,666
38Mylcsif5Q,2025-05-27 08:11:34+00:00,After Founding,240739,13162,1072
WS6G3s55PNI,2025-05-26 18:37:53+00:00,After Founding,232768,14222,1754
Uei16n7bvjg,2025-05-23 08:48:51+00:00,After Founding,39546,3586,238
5rJaFa-Qv98,2025-05-22 18:41:49+00:00,After Founding,250919,16196,7038
Drg_jogctUQ,2025-05-20 17:02:16+00:00,After Founding,132288,7310,767
Lm22LSzCSNk,2025-05-20 15:19:48+00:00,After Founding,100612,6749,430
WmNswep2cFY,2025-05-19 06:51:49+00:00,After Founding,47255,4025,642
sQ6dI3tOgyQ,2025-05-16 16:23:03+00:00,After Founding,99942,8359,292
xT36gWfE6Uk,2025-05-16 12:00:46+00:00,After Founding,208497,10594,671
iL44wTd8Rbk,2025-05-16 06:54:08+00:00,After Founding,99006,7763,362
GJFO-rmNyOs,2025-05-15 07:06:46+00:00,After Founding,152101,12025,2695
HgtznDjFLlk,2025-05-13 15:53:18+00:00,After Founding,106700,8744,352
px3FA_JO4kA,2025-05-12 15:23:08+00:00,After Founding,139714,11168,3248
ORj7cspeDmo,2025-05-11 07:58:27+00:00,After Founding,180441,10388,609
fGBrvijqZXk,2025-05-09 14:09:06+00:00,After Founding,79928,5056,325
fBSvBPE3zYs,2025-05-08 17:05:07+00:00,After Founding,144511,8904,551
xpP4FlLoecw,2025-05-08 12:20:16+00:00,After Founding,326367,13986,578
p_1HTJeudj0,2025-05-07 16:50:47+00:00,After Founding,45296,4196,1582
z33GofG6stE,2025-05-06 11:25:55+00:00,After Founding,251563,12516,617
txQTmeRPFCg,2025-05-04 09:32:36+00:00,After Founding,284048,8575,370
DiVbYog9Ixc,2025-05-03 11:02:13+00:00,After Founding,687425,39573,1731
hwmvKdL_BMo,2025-04-30 09:01:38+00:00,After Founding,66724,3932,310
TWwxMc9uO5s,2025-04-28 15:04:19+00:00,After Founding,724425,39012,1266
4u5earcc4Oc,2025-04-22 10:29:06+00:00,After Founding,68786,5859,267
Gig36_2w5RM,2025-04-19 12:35:22+00:00,After Founding,44953,2423,216
99_RbKRMdG8,2025-04-17 14:03:51+00:00,After Founding,316774,18339,734
g8mxtYPU790,2025-03-19 17:07:26+00:00,After Founding,40227,3901,287
edYs2MhD_AA,2025-03-19 10:11:20+00:00,After Founding,325322,24547,1006
2f6_dlNTyfc,2025-03-18 14:55:19+00:00,After Founding,102988,8675,7840
zg_G5vb_-t4,2025-03-15 15:09:46+00:00,After Founding,66710,8462,547
lXdPkEakMgk,2025-03-13 15:59:38+00:00,After Founding,57853,6173,2337
DAo3i-_N0yc,2025-03-13 10:41:31+00:00,After Founding,138346,9252,2129
ezfAs4-_Ggo,2025-02-24 13:45:28+00:00,After Founding,49460,5097,689
TCogSxg5aJk,2025-02-23 05:40:02+00:00,After Founding,23094,2782,339
dhz7IdT2A6c,2025-02-22 21:55:06+00:00,After Founding,25064,2414,143
oj_wBWH-Zf8,2025-02-22 14:03:22+00:00,After Founding,23523,2091,1078
eFUAN-Gp2_A,2025-02-22 09:27:14+00:00,After Founding,37867,3243,348
-F0EXGzcJkU,2025-02-21 17:48:04+00:00,After Founding,182579,10612,2145
8QcjPxImdEE,2025-02-21 17:10:02+00:00,After Founding,22755,2881,164
-3NP_gjEfVM,2025-02-21 15:00:01+00:00,After Founding,47072,4757,435
BVwGfdveakM,2025-02-21 12:50:56+00:00,After Founding,11656,1717,99
LHDfDcaZpcQ,2025-02-21 10:08:40+00:00,After Founding,145112,9311,488
DlysNFd-fds,2025-02-19 20:00:04+00:00,After Founding,31551,3737,180
ujQz06FoPqU,2025-02-19 17:40:09+00:00,After Founding,20715,1948,252
A1a2zsiNQaM,2025-02-19 14:49:52+00:00,After Founding,112471,6047,1479
24BQK9XnJDc,2025-02-18 19:07:04+00:00,After Founding,11738,1492,45
