,Alternative_für_Deutschland
2024-11-01,1223
2024-11-02,1323
2024-11-03,1309
2024-11-04,1601
2024-11-05,1769
2024-11-06,3024
2024-11-07,4722
2024-11-08,3550
2024-11-09,2612
2024-11-10,2679
2024-11-11,2810
2024-11-12,3696
2024-11-13,6007
2024-11-14,13866
2024-11-15,3371
2024-11-16,2495
2024-11-17,2839
2024-11-18,2500
2024-11-19,2594
2024-11-20,2346
2024-11-21,2302
2024-11-22,2564
2024-11-23,1885
2024-11-24,2106
2024-11-25,2155
2024-11-26,2103
2024-11-27,2048
2024-11-28,1956
2024-11-29,2091
2024-11-30,1597
2024-12-01,1623
2024-12-02,1851
2024-12-03,2278
2024-12-04,1856
2024-12-05,1804
2024-12-06,1657
2024-12-07,2517
2024-12-08,2071
2024-12-09,2002
2024-12-10,1927
2024-12-11,2158
2024-12-12,2082
2024-12-13,1662
2024-12-14,1506
2024-12-15,1884
2024-12-16,3157
2024-12-17,3004
2024-12-18,2728
2024-12-19,2431
2024-12-20,3935
2024-12-21,5723
2024-12-22,5227
2024-12-23,4033
2024-12-24,3143
2024-12-25,2876
2024-12-26,2668
2024-12-27,2802
2024-12-28,2961
2024-12-29,3471
2024-12-30,2721
2024-12-31,2569
2025-01-01,2731
2025-01-02,2625
2025-01-03,2890
2025-01-04,2800
2025-01-05,3281
2025-01-06,4375
2025-01-07,3977
2025-01-08,4154
2025-01-09,5211
2025-01-10,5835
2025-01-11,7948
2025-01-12,9473
2025-01-13,7394
2025-01-14,6322
2025-01-15,5832
2025-01-16,5783
2025-01-17,5070
2025-01-18,4501
2025-01-19,4473
2025-01-20,5241
2025-01-21,5617
2025-01-22,5874
2025-01-23,7210
2025-01-24,6358
2025-01-25,5811
2025-01-26,7632
2025-01-27,8136
2025-01-28,7648
2025-01-29,10147
2025-01-30,13021
2025-01-31,13224
2025-02-01,9943
2025-02-02,10748
2025-02-03,10676
2025-02-04,9082
2025-02-05,7794
2025-02-06,9039
2025-02-07,7582
2025-02-08,7080
2025-02-09,8742
2025-02-10,9106
2025-02-11,9311
2025-02-12,8972
2025-02-13,10460
2025-02-14,8473
2025-02-15,8418
2025-02-16,12982
2025-02-17,14705
2025-02-18,13495
2025-02-19,12826
2025-02-20,11416
2025-02-21,10512
2025-02-22,12667
2025-02-23,60913
2025-02-24,46538
2025-02-25,19592
2025-02-26,14399
2025-02-27,8108
2025-02-28,6006
