,Unnamed: 0,videoId,author,publishedAt,likeCount,text,period
0,44,bQNsHivR9AU,@jochenkrebs9685,2022-10-20T19:19:36Z,7917,Schade dass Politiker nicht persönlich für das haften müssen was sie anrichten.,Before Founding
1,121,kyUaDbVjMr0,@seemax7956,2021-11-19T07:22:26Z,7385,Um Loriot zu zitieren „In Krisenzeiten suchen Intelligente nach Lösungen. Idioten nach Schuldigen“. Danke Frau Wagenknecht für Ihre Beiträge und Respekt für Ihre Haltung und Ihren Mut!,Before Founding
2,40,bQNsHivR9AU,@sternmeer5346,2022-10-20T19:04:43Z,5816,"Absolut jedes Wort, das Sie zur Beschreibung der Grünen verwenden, ist zu 100 % geeignet, eine solche Sekte zu beschreiben, denn ich persönlich kann sie nicht mehr als politische Partei bezeichnen!. Herzlichen Dank, Frau Wagenknecht, für Ihr großes Engagement.",Before Founding
3,0,WCwx94TOGPQ,@andreasmann1111,2022-02-03T19:47:21Z,5571,Liebe Sahra schön dich gesund zu sehen. Im Gegensatz zu 98% unserer Politiker verfügen sie über einen normalen Menschenverstand. Bleiben Sie uns erhalten.,Before Founding
4,332,LbnRTQTJ7bQ,@fffrankk,2022-01-27T19:56:17Z,5275,"Wie üblich: Tausend Dank dafür, eine der wenigen Stimmen der Vernunft in der deutschen Politik zu sein und den Mut zu haben, sie zu äußern.",Before Founding
5,549,58qxTjXnPPE,@77servius,2022-05-05T17:09:41Z,4792,Einfach nur Wahnsinn was hier abgeht.Danke für Ihren klaren Verstand Frau Wagenknecht 🙏,Before Founding
6,360,K0YqvoU08Sw,@einfachdenken1722,2023-09-21T19:20:00Z,4777,"Egal welche politische Einstellung man hat. Ein Angriff auf das eigene Land MUSS aufgeklärt werden. Wie kann man tolerieren, dass dieses Thema einfach totgeschwiegen wird?",Before Founding
7,260,jyltDCy3Kvo,@sigridmargaretepabst2210,2022-09-08T18:36:49Z,4459,Herzlichen Dank und größte Hochachtung für Ihre hervorragende Rede im Bundestag!,Before Founding
8,200,CbAfH65jGI4,@aimeukal284,2022-10-13T18:32:46Z,4425,Ganz ihrer Meinung Frau Wagenknecht. Bitte bleiben sie stark und wir werden sie weiterhin unterstützen.,Before Founding
9,580,hFMMeqC8fuY,@Oliver,2022-03-24T19:16:02Z,4381,"Danke für Ihre unermüdliche Arbeit, ein Lichtblick in der aktuellen Politik! 👍",Before Founding
10,460,aC_xBjrmTl4,@desastermaster2010,2022-09-29T18:52:08Z,4319,"Sehr geehrte Frau Wagenknecht: Lassen Sie sich nicht einschüchtern. Starten sie ein Bürgerbegehren, sammeln Sie Unterschriften, fordern Sie Neuwahlen und kandidieren Sie als ""Parteilose Kanzlerin"", wenn nötig. Meine Stimme ist Ihnen sicher!",Before Founding
11,340,Lwflj8_vmgI,@n54stage36,2022-11-03T19:25:34Z,4288,"Bitte Frau Wagenknecht, retten Sie unser Land… bitte machen Sie weiter so. Danke",Before Founding
12,281,U0rBBMStw9Q,@stanstandard6478,2023-01-19T20:07:33Z,4199,"Die Politiker, die Waffenlieferungen befürworten, sollten auch die ersten sein, die sich an die Front melden.",Before Founding
13,82,5Uqxb8n0rdU,@_Yoko_84,2023-01-28T19:23:32Z,4070,Deutschland ist an Lächerlichkeit nicht mehr zu überbieten.,Before Founding
14,640,C9-oJhuYIOI,@vivienneb804,2022-02-25T14:02:23Z,3946,Ich wünschte Sie wären Außenministerin! Sie haben das nötige Feingefühl und sind diplomatisch.,Before Founding
15,989,SLlsrkGwPCA,@Neverforgetnikichannel,2022-02-17T18:16:31Z,3896,"Alle Einschränkungen und die Impfpflicht müssen für immer weg. Vorher ist es keine Freiheit, vorher dürfen wir keine Ruhe geben!",Before Founding
16,124,kyUaDbVjMr0,@vogtmargrit,2021-11-19T07:02:37Z,3882,"Ich bewundere diese Frau, die es immer wieder wagt, die Wahrheit auszusprechen,auch wenn sie dafür ständig heftig angegriffen wird.Hut ab und Danke 🤩",Before Founding
17,122,kyUaDbVjMr0,@janfischer1140,2021-11-19T07:49:24Z,3828,"Danke, Frau Wagenknecht für Ihre Hartnäckigkeit, Ihren unerschütterlichen Mut und Ihren unkorrumpierbaren Hang zum Realismus.",Before Founding
18,35,CAC9F3_pjjE,@garogaritphila8223,2021-12-02T20:04:59Z,3730,"Frau Wagenknecht, Sie sind eine von den wenigen Lichtblicke in diese düstere Zeit. Kämpfen Sie weiter.",Before Founding
19,349,Lwflj8_vmgI,@Baba-hr6wk,2022-11-03T19:25:07Z,3690,Gründen Sie endlich eigene Partei. Ich habe keine Nerven mehr,Before Founding
