,videoId,author,publishedAt,likeCount,text,period
0,WCwx94TOGPQ,@andreasmann1111,2022-02-03T19:47:21Z,5571,Liebe Sahra schön dich gesund zu sehen. Im Gegensatz zu 98% unserer Politiker verfügen sie über einen normalen Menschenverstand. Bleiben Sie uns erhalten.,Before Founding
1,WCwx94TOGPQ,@marcelbollier1863,2022-02-03T19:38:12Z,1765,"Es tut gut und ist äusserst wichtig sich anzuhören was intelligente vernünftige Menschen zu sagen haben, vielen Dank!",Before Founding
2,WCwx94TOGPQ,@annemachowinski3292,2022-02-03T19:47:41Z,1594,"Toller Beitrag. Sehr aufschlussreich. Danke, Frau Wagenknecht.",Before Founding
3,WCwx94TOGPQ,@mariuszgruchlik4367,2023-09-28T18:20:14Z,46,"Wir sind alle doch Menschen. Wir sollten uns nicht fertig machen, sondern miteinander entwickeln! Finde ich von Herzen und Verstand!",Before Founding
4,WCwx94TOGPQ,@Wollenschrank,2022-02-03T19:43:24Z,723,"Vielen Dank für die sachlichen Darstellungen, Frau Wagenknecht.",Before Founding
5,WCwx94TOGPQ,@hansbreit7130,2022-02-03T20:23:19Z,762,"Die Ampelregierung sollte verpflichtet werden, diesen sehr guten Beitrag von Ihnen zur Kenntnis zu nehmen!
Vielen Dank,Frau Wagenknecht!",Before Founding
6,WCwx94TOGPQ,@MarieMarch-kn7rw,2022-02-04T11:32:11Z,524,"Dieser Beitrag von Ihnen, liebe Sahra, ist ausserordentlich wichtig und vielleicht sogar der beste und wichtigste bisher in diesen Zeiten. Vielen Dank dafür!",Before Founding
7,WCwx94TOGPQ,@yulia9416,2022-04-10T03:19:30Z,86,"Сара, какая вы умница. Сегодня всё сложнее услышать голос разума.
Спасибо Вам за здравую и объективную позицию.",Before Founding
8,WCwx94TOGPQ,@svetlanajanzen1585,2022-02-04T06:33:22Z,556,"Es gibt noch Menschen die klaren Verstand haben !!! Danke für ihre Engagement, Fr.Wagenknecht !!",Before Founding
9,WCwx94TOGPQ,@birgitb.5278,2022-02-03T19:16:34Z,1098,"Danke für diesen klaren intelligenten Beitrag, Sie sind eine der wenigen die klar und vernünftig denken können! 👍",Before Founding
