,videoId,publishedAt,viewCount,likeCount,commentCount
0,qh8xUmT2NyI,2024-05-24 07:23:40+00:00,1256939,78014,4076
1,hhRZvfeXo-E,2024-08-24 16:10:33+00:00,1085789,46111,2212
2,Qn-e6dIGpBY,2024-12-27 10:05:54+00:00,976707,28555,3209
3,v3YPYiLNE9c,2024-07-05 18:58:29+00:00,949890,56380,3266
4,X3vdNP4Mjtg,2025-02-06 17:02:37+00:00,904243,29923,1596
5,ZexdXkpl-6E,2024-11-21 09:10:55+00:00,832104,28690,1407
6,TWwxMc9uO5s,2025-04-28 15:04:19+00:00,724425,39012,1266
7,SAGFQye1hT0,2024-05-27 15:40:56+00:00,695768,27097,4117
8,DiVbYog9Ixc,2025-05-03 11:02:13+00:00,687425,39573,1731
9,VVXrNSpEwJQ,2024-03-14 12:06:31+00:00,641711,42535,7346
10,-lXMP0RUy5A,2024-08-28 14:00:00+00:00,589699,40755,9122
11,VLzgTaD7_qU,2025-07-06 14:59:29+00:00,518412,16272,299
12,8bbfJl862cs,2024-05-29 14:29:19+00:00,514417,24174,584
13,a6y67L8XX64,2024-05-14 14:39:58+00:00,496708,16696,2616
14,UkO2fJUbres,2024-05-30 14:01:05+00:00,443431,19182,2675
15,bGNp5K8y_j8,2024-05-09 11:03:04+00:00,411485,27402,2273
16,PIg9V89hY64,2025-01-02 19:30:02+00:00,383988,9721,1847
17,kp1S43yxpXw,2024-05-23 14:05:56+00:00,360265,28556,6167
18,GhJpgQbmo_A,2024-03-19 15:04:51+00:00,352839,19475,3123
19,l0BCbVMMfP0,2025-02-07 17:35:47+00:00,337691,15887,1058
20,1ZReSYUx-ng,2024-03-20 17:07:11+00:00,334035,21961,7678
21,xpP4FlLoecw,2025-05-08 12:20:16+00:00,326367,13986,578
22,edYs2MhD_AA,2025-03-19 10:11:20+00:00,325322,24547,1006
23,yCDCvXEJ5kg,2024-06-25 14:40:22+00:00,322237,18183,3545
24,4rnLAo8FWxk,2024-06-11 17:28:20+00:00,319360,22634,7803
25,99_RbKRMdG8,2025-04-17 14:03:51+00:00,316774,18339,734
26,DhJt8ptkBS0,2024-06-06 12:46:58+00:00,305076,20629,3333
27,hd6oHVhYTs8,2025-01-05 16:23:24+00:00,295897,12917,1088
28,Ql7FFr54A7M,2024-06-04 14:09:08+00:00,294909,17175,4213
29,a1V0AMP_F1U,2025-06-22 16:36:02+00:00,284545,14535,993
30,txQTmeRPFCg,2025-05-04 09:32:36+00:00,284048,8575,370
31,LuxjeQn61Co,2024-09-17 12:13:21+00:00,283430,12866,598
32,z33GofG6stE,2025-05-06 11:25:55+00:00,251563,12516,617
33,LKIMHrYVvOM,2025-08-19 15:23:59+00:00,251041,17633,900
34,5rJaFa-Qv98,2025-05-22 18:41:49+00:00,250919,16196,7038
35,38Mylcsif5Q,2025-05-27 08:11:34+00:00,240739,13162,1072
36,BKoDtddDvkw,2024-09-24 12:17:22+00:00,239031,13058,1117
37,i_VgFLoXyqQ,2025-09-09 16:29:26+00:00,238547,16070,4082
38,UMwuZMpoMd8,2024-12-03 14:42:40+00:00,237802,10194,5081
39,WS6G3s55PNI,2025-05-26 18:37:53+00:00,232768,14222,1754
40,K2HOYgo_0UQ,2024-07-04 09:04:14+00:00,232174,7798,2048
41,KiRq8f-ydJI,2024-12-20 10:45:16+00:00,222879,7182,2994
42,VAOXLG5fkBc,2024-10-08 14:15:05+00:00,218212,9046,2788
43,LkbVw4fanIg,2024-01-31 17:01:26+00:00,215527,14484,3316
44,xT36gWfE6Uk,2025-05-16 12:00:46+00:00,208497,10594,671
45,qRZhjFyhSQI,2024-02-21 18:30:45+00:00,205426,16044,4982
46,lT8IvORoyRs,2024-11-13 17:56:16+00:00,203279,13962,6906
47,YcysDmbOWyw,2024-09-26 17:14:34+00:00,201453,12277,4520
48,29qi5DOsmsQ,2024-06-05 16:01:06+00:00,200961,9909,2988
49,GUhLwqgSUXg,2024-06-26 14:29:07+00:00,199429,15870,6100
50,EWT8N5FqDLA,2025-06-15 10:09:10+00:00,194415,9707,581
51,-F0EXGzcJkU,2025-02-21 17:48:04+00:00,182579,10612,2145
52,Jw9p-NZ6MDQ,2025-01-07 17:16:09+00:00,182013,10479,718
53,ORj7cspeDmo,2025-05-11 07:58:27+00:00,180441,10388,609
54,zCJAwKV08KY,2025-09-04 17:03:42+00:00,179015,12332,5800
55,faDMk_ejymA,2025-06-18 07:03:40+00:00,178069,11905,517
56,xxMllVtVZ_o,2024-04-12 13:23:47+00:00,177096,15402,3496
57,w1o7FZ-lIIQ,2024-06-19 16:35:34+00:00,174864,7963,1051
58,1VK0jX-64qo,2024-02-14 16:42:55+00:00,174457,9362,2387
59,RQf666dZPKk,2024-11-07 15:35:00+00:00,169854,11340,2130
60,R677ZDqI7fo,2025-01-31 15:51:49+00:00,168848,8925,4431
61,CJxNtxYcfEw,2024-05-07 18:53:13+00:00,168433,14006,4016
62,G0imA8Tnkm8,2025-01-16 17:02:46+00:00,163560,11609,1151
63,imsJbgXaWOw,2025-06-02 07:41:11+00:00,162775,9134,649
64,QPe817SS2-Y,2024-11-12 14:34:12+00:00,162745,6469,1695
65,LdQso-7-4NE,2024-09-11 12:41:39+00:00,162683,11478,4592
66,GJFO-rmNyOs,2025-05-15 07:06:46+00:00,152101,12025,2695
67,OhxOQWOw_fE,2024-07-13 05:35:17+00:00,150980,9041,7422
68,4dlBvGH6tkM,2024-07-31 15:39:16+00:00,150911,5720,1822
69,LHDfDcaZpcQ,2025-02-21 10:08:40+00:00,145112,9311,488
70,eRJBimgWThA,2024-12-02 17:07:14+00:00,144619,10348,1749
71,fBSvBPE3zYs,2025-05-08 17:05:07+00:00,144511,8904,551
72,bHius0x9mtw,2024-04-09 14:47:29+00:00,142372,8826,1868
73,zWWQVeZQHXA,2024-06-13 12:04:45+00:00,141200,11128,2178
74,px3FA_JO4kA,2025-05-12 15:23:08+00:00,139714,11168,3248
75,DAo3i-_N0yc,2025-03-13 10:41:31+00:00,138346,9252,2129
76,Drg_jogctUQ,2025-05-20 17:02:16+00:00,132288,7310,767
77,Rr23fj1cPHY,2024-12-16 16:23:26+00:00,126769,8083,2464
78,F0sqnVTGv10,2025-09-11 17:18:36+00:00,123860,8462,543
79,h44kdBnPkaY,2025-07-17 15:05:46+00:00,123686,7386,325
80,tqM-HzP8R4E,2025-06-01 07:32:57+00:00,122354,7922,666
81,Y9cJWMr1deE,2025-06-25 18:21:01+00:00,117812,7686,771
82,dzU5AoHMDu8,2024-01-27 20:14:49+00:00,117287,8772,2833
83,MVTsqE_cm50,2024-12-12 17:00:21+00:00,113436,7183,1471
84,dWs1I4LNIeE,2024-04-24 11:33:53+00:00,113313,5460,721
85,A1a2zsiNQaM,2025-02-19 14:49:52+00:00,112471,6047,1479
86,BSLVe0ZAlWk,2025-01-30 12:20:43+00:00,110747,6886,1350
87,JDry9sHfBU0,2024-08-28 11:20:40+00:00,110077,6727,641
88,HgtznDjFLlk,2025-05-13 15:53:18+00:00,106700,8744,352
89,n7G-vtBSzn4,2024-09-12 07:03:43+00:00,106371,7547,718
90,OR_4lgGH0UY,2025-07-08 07:18:36+00:00,106345,6695,464
91,2f6_dlNTyfc,2025-03-18 14:55:19+00:00,102988,8675,7840
92,VkOwE70hHk0,2025-07-21 07:48:16+00:00,102425,8237,631
93,sBrR1r9tYIY,2025-06-12 16:01:25+00:00,102158,8138,3401
94,f5vmf3KoJ7o,2024-04-23 14:14:45+00:00,100646,6730,1209
95,Lm22LSzCSNk,2025-05-20 15:19:48+00:00,100612,6749,430
96,DSOa-JviyBQ,2025-09-08 07:18:22+00:00,100533,4810,218
97,sQ6dI3tOgyQ,2025-05-16 16:23:03+00:00,99942,8359,292
98,Po560dE89XE,2025-06-26 16:28:56+00:00,99449,8300,2408
99,iL44wTd8Rbk,2025-05-16 06:54:08+00:00,99006,7763,362
