,videoId,publishedAt,viewCount,likeCount,commentCount
0,WCwx94TOGPQ,2022-02-03 19:01:01+00:00,1982480,97705,19522
1,CAC9F3_pjjE,2021-12-02 19:53:57+00:00,1961058,131862,15154
2,bQNsHivR9AU,2022-10-20 18:44:19+00:00,1861729,128593,21187
3,5BZKoICJbZY,2023-03-18 13:20:07+00:00,1767578,108370,5130
4,5Uqxb8n0rdU,2023-01-28 15:01:05+00:00,1683366,81562,4623
5,4EPEp2q0bzY,2023-02-09 11:15:05+00:00,1598091,93928,5922
6,kyUaDbVjMr0,2021-11-19 06:39:03+00:00,1584452,107820,11839
7,oRYkODSC-WU,2022-09-08 11:09:30+00:00,1554796,94313,12768
8,aIylqpDNVIc,2023-03-15 17:02:24+00:00,1387966,77435,5449
9,psN9dX1laVM,2023-09-18 14:14:22+00:00,1265971,59071,2710
10,CbAfH65jGI4,2022-10-13 18:29:37+00:00,1214416,91873,17148
11,ulaw8J_YFLw,2023-06-16 14:02:12+00:00,1176727,62061,2363
12,juQMBphcboo,2021-08-26 14:08:56+00:00,1104963,52647,7420
13,jyltDCy3Kvo,2022-09-08 18:07:07+00:00,1091495,89011,15480
14,U0rBBMStw9Q,2023-01-19 19:20:05+00:00,1019251,79047,25064
15,BcUWnPJoxI0,2023-03-16 17:03:41+00:00,1012052,52485,9979
16,LbnRTQTJ7bQ,2022-01-27 18:46:52+00:00,987780,75071,10662
17,Lwflj8_vmgI,2022-11-03 19:24:20+00:00,913576,65868,11826
18,K0YqvoU08Sw,2023-09-21 18:50:44+00:00,912495,47898,12860
19,ulQSF6d13GI,2022-12-22 16:40:05+00:00,888781,61035,12766
20,uwsV7vKyF3E,2020-05-07 20:41:11+00:00,874856,37601,3944
21,HEzT9HKj6D8,2022-04-07 16:54:45+00:00,857516,58606,18439
22,0mU5_aIBc-8,2020-11-12 16:05:27+00:00,841915,49003,8546
23,aC_xBjrmTl4,2022-09-29 18:16:55+00:00,840930,45090,8061
24,rIlUci-PJVA,2021-05-06 15:31:14+00:00,832863,47396,7905
25,wCAWzKpHIp8,2023-01-27 15:06:57+00:00,832594,73650,3486
26,5Ms0f7XnsTc,2022-05-19 18:12:43+00:00,831987,56322,10049
27,58qxTjXnPPE,2022-05-05 16:47:35+00:00,830304,72700,18877
28,t68QfjvISZ8,2023-04-21 13:43:39+00:00,802277,41837,2127
29,hFMMeqC8fuY,2022-03-24 19:05:04+00:00,801718,58405,12036
30,T2bivIDGCMI,2021-02-04 16:28:10+00:00,792659,54547,9395
31,rP2k4WzZybI,2023-11-28 11:32:20+00:00,758572,49830,2145
32,C9-oJhuYIOI,2022-02-25 13:43:15+00:00,755586,40146,10909
33,yVsj7e0FcgI,2021-03-18 20:32:00+00:00,741930,42823,5940
34,dodIQkDgtDA,2022-07-07 16:23:55+00:00,741801,62938,18159
35,DY3vQJ36Xkw,2022-09-22 17:40:57+00:00,729229,75695,13327
36,hvQKE0bGq5U,2021-11-25 18:34:57+00:00,688514,58271,5515
37,EUHCLo7J9n4,2022-11-24 17:59:18+00:00,677649,32980,6843
38,_x_-1Xtw9yE,2023-02-02 19:19:34+00:00,638773,34945,7067
39,D3oUe8usIkU,2022-11-10 19:32:51+00:00,624028,47291,11305
40,SYLsSPSjTX8,2022-03-03 19:37:59+00:00,623784,45779,13085
41,EcfCjO7KIyQ,2022-12-08 18:55:30+00:00,602748,39812,8425
42,OskHcSVvIY4,2020-12-10 16:00:06+00:00,599733,33585,5717
43,U3JInRxTJek,2022-09-15 19:10:03+00:00,591259,57948,10363
44,AWGTPkLx0WM,2023-11-09 16:41:57+00:00,584899,32682,1269
45,avtmxgsVux8,2022-05-12 13:06:11+00:00,578251,41020,4388
46,XGOscIX3aFA,2023-02-26 18:10:55+00:00,566093,50923,14837
47,7UJKIi_qYJ4,2022-06-30 17:46:34+00:00,548329,41184,5905
48,Cg4JNKVJ7ik,2021-12-29 11:55:31+00:00,539602,46441,3206
49,SLlsrkGwPCA,2022-02-17 18:04:57+00:00,529573,46532,6384
50,xw3qY4kS4HQ,2021-09-02 14:08:32+00:00,528800,40883,6135
51,UDGl7rCLrVI,2021-02-18 15:45:03+00:00,518093,36887,5518
52,dOCB87649D0,2022-01-13 18:16:44+00:00,511331,41764,5180
53,ZYszDrACYrs,2023-02-09 11:03:11+00:00,501545,48461,2019
54,L60hLi8KZbk,2020-07-02 20:43:06+00:00,495541,17223,4565
55,ZDtCMKdZ_gU,2021-03-11 16:07:43+00:00,490893,33935,5376
56,zZnCpotRxkQ,2020-10-22 15:12:46+00:00,482993,19367,2712
57,wqrXAYUtmbc,2021-04-29 17:30:37+00:00,482851,45804,6335
58,3zbciNWbCO8,2022-01-06 12:57:16+00:00,479085,18667,2014
59,ZFlyZV1jK2Q,2021-01-14 17:31:37+00:00,472125,37871,6799
60,miPYLeMaf7g,2023-01-20 15:02:58+00:00,467103,42023,1949
61,x4ms74GOJq8,2023-09-07 16:09:44+00:00,455058,26831,7273
62,Q7bEhtzMqZQ,2021-09-16 17:52:18+00:00,425695,27704,4660
63,I8MYqaGFTc8,2021-12-16 19:25:00+00:00,415642,26538,3930
