,Unnamed: 0,videoId,author,publishedAt,likeCount,text,period
0,181,VVXrNSpEwJQ,@hubsda7883,2024-03-14T15:26:24Z,3070,"Müssten Politiker an die Front, es gäbe keine Kriege!!",After Founding
1,182,VVXrNSpEwJQ,@dm5559,2024-03-14T12:34:26Z,2787,Unsere Diplomatie ist eine Schande!!! Wir sollten durch unsere Geschichte für den Frieden vermitteln!!!,After Founding
2,180,VVXrNSpEwJQ,@uweschmidt922,2024-03-14T12:38:15Z,2717,"„All der Krieg Propaganda, all das Geschrei und die Lügen und der Hass kommt immer nur von den Leuten, die nicht kämpfen müssen.“ George Orwell",After Founding
3,141,SAGFQye1hT0,@harrybo1966,2024-05-27T16:45:19Z,2206,"Öffentlich-rechtliche gut aufgepasst! Da sprechen drei Menschen miteinander, man nennt das Diskussion!!!",After Founding
4,200,-lXMP0RUy5A,@komscherbleier1316,2024-08-28T14:22:20Z,2094,"„Deutschland hat keine eigene Position, sondern rennt bloß den USA hinterher.“ —  Peter Scholl-Latout",After Founding
5,104,ZexdXkpl-6E,@helenepawlowski6042,2024-11-21T10:04:40Z,2088,Was quatschen die Moderatoren immer dazwischen..,After Founding
6,20,hhRZvfeXo-E,@sybillefandrich525,2024-08-24T19:37:45Z,2082,Hoffentlich ist Kevin bald allein und zuhaus,After Founding
7,206,-lXMP0RUy5A,@EveryLara,2024-08-28T14:01:44Z,1899,"Wir wollen Frieden, keinen Krieg und keine Waffenlieferungen in Kriegsgebiete! 🕊️🧡💜",After Founding
8,523,DhJt8ptkBS0,@angelawithus5044,2024-06-06T12:58:50Z,1880,Genau so Frau Wagenknecht . Und der so gute Herr Scholz schaut ignorant auf sein Handy.  Das sagt alles.,After Founding
9,194,VVXrNSpEwJQ,@HansBerner-c6y,2024-03-14T12:19:32Z,1854,Ich habe auch das Gefühl das sie alle dem Wahnsinn verfallen sind!!! 😮,After Founding
10,140,SAGFQye1hT0,@sabinehaufe6602,2024-05-27T16:22:34Z,1816,Was für eine intelligente und geradezu unglaubliche Diskussion?!Menschen die sich mit gesunden Menschenverstand unterhalten können ohne dazwischen Gekreische von Gehirngewaschenen Leuten.super...mehr davon bitte,After Founding
11,202,-lXMP0RUy5A,@AndreasPrescher,2024-08-28T14:46:35Z,1808,Nicht die erste Lüge von Kanzler und bestimmt nicht die letzte. Der sollte sich schämen Willi Brandt und Helmut Schmidt zu erwähnen.,After Founding
12,529,DhJt8ptkBS0,@petrawestpfahl2592,2024-06-06T13:54:11Z,1687,Herrn Scholz scheint seine Außenwirkung überhaupt nicht zu tangieren...sitzt da und daddelt am Handy. Das ist respektlos und arrogant.,After Founding
13,302,bGNp5K8y_j8,@maxmustermann9587,2024-05-09T11:39:53Z,1667,"Das Problem von März: Der Ossi hat nur allzugut verstanden. Besser, als März lieb ist.",After Founding
14,1129,xxMllVtVZ_o,@gudruns.5735,2024-04-12T13:29:17Z,1602,"Danke Frau Dr. Sahra Wagenknecht.
Das Geschrei im Hintergrund bei dieser guten Rede ist so was von abartig und unverschämt.",After Founding
15,160,DiVbYog9Ixc,@giselam.7019,2025-05-03T15:29:46Z,1535,Der Umgang mit den Ungeimpften war extrem menschenverachtend!,After Founding
16,370,GhJpgQbmo_A,@derutopist,2024-03-19T17:12:11Z,1513,"""Warum sollen fremde Soldaten in der Ukraine kämpfen, wenn es die eigenen Streitkräfte nicht wollen?""
Macht endlich Schluss mit dem Krieg!",After Founding
17,190,VVXrNSpEwJQ,@coramuller6065,2024-03-14T12:18:45Z,1472,"Gute Rede, Frau Wagenknecht ! Hat von den ""Andersdenkenden"" im Bundestag auch nur einer schon zu Kriegszeiten gelebt und wüßte somit, was es bedeutet, uns einer solchen Gefahr auszusetzen ? Es ist höchste Zeit für Friedensgespräche.",After Founding
18,410,1ZReSYUx-ng,@michaelwittmann1973,2024-03-20T17:39:27Z,1446,nein zu Kriegstreiberei,After Founding
19,342,kp1S43yxpXw,@sabineK.R.7353,2024-05-23T14:20:46Z,1438,"Unfassbar diese Frau Außenministerin, weg mit ihr so schnell wie möglich.",After Founding
20,1,qh8xUmT2NyI,@Armazone-21,2024-05-24T08:14:44Z,1429,"Münte war ja auch der Meinung, es sei ,,unfair, die Politiker nach der Wahl an ihren Versprechen vor der Wahl zu messen""... eine Stimme, die wir nicht vermissen - Glück auf !",After Founding
21,205,-lXMP0RUy5A,@yagashiu,2024-08-28T14:00:59Z,1409,WEG MIT DER AMPEL!!,After Founding
22,757,i_VgFLoXyqQ,@paulmeyer5682,2025-09-09T17:23:28Z,1387,"Laut Merz ,,C""DU kann man sich den Sozialstaat nicht mehr leisten.- Aber 9 Milliarden für Waffen pro Jahr für die Ukraine sind kein Problem. - Ekelhafte Regierung.",After Founding
23,60,v3YPYiLNE9c,@ks5492,2024-07-06T09:04:02Z,1376,Braucht man für Frieden ein Mandat? Frieden ist ein Grundrecht für ALLE Menschen.,After Founding
24,212,-lXMP0RUy5A,@danielzilla007,2024-08-28T14:25:35Z,1328,"Er hat vergessen, dass er ein Lügner ist.",After Founding
25,921,lT8IvORoyRs,@Baby-Hübner,2024-11-13T18:17:01Z,1300,Wir wollen Frieden und keinen Krieg!!!!!!,After Founding
26,742,i_VgFLoXyqQ,@christineruger6342,2025-09-09T16:44:54Z,1295,Danke Herr Hallervorden ❤ Sie sind einfach großartig. ❤,After Founding
27,936,lT8IvORoyRs,@rolotomassi6613,2024-11-13T17:58:45Z,1292,Das hämische Grinsen von Blackrock Merz ist furchterregend.,After Founding
28,120,TWwxMc9uO5s,@juenne55,2025-04-28T17:17:19Z,1291,Die Arroganz von Merz ist nicht zu übertreffen.,After Founding
29,63,v3YPYiLNE9c,@Martin-uh8yv,2024-07-05T20:30:38Z,1272,Olaf kann sich nachher sowieso nicht mehr daran erinnern.,After Founding
30,218,-lXMP0RUy5A,@uweklockner2939,2024-08-28T14:51:16Z,1266,Scholz kann nur drei Dinge: 1. Lügen 2. Phrasen dreschen 3. Vergessen - AMPEL POLITISCH LIQUIDIEREN!!!!!!!!!!!!!!!!,After Founding
31,193,VVXrNSpEwJQ,@thomasstobe5682,2024-03-14T12:43:15Z,1251,"Egal welche politische Meinung man vertritt, Frau Wagenknecht hat es genau auf den Punkt gebracht.",After Founding
32,340,kp1S43yxpXw,@saulgoodman4949,2024-05-23T15:57:09Z,1250,Politiker müssen mit ihrem Privatvermögen haften!!,After Founding
33,297,UkO2fJUbres,@Genuegsamkeit,2024-05-30T15:59:01Z,1243,95 Jahre und ein viel klarerer Geist als die gesamte Bundesregierung.,After Founding
34,185,VVXrNSpEwJQ,@morielbaumsanger8297,2024-03-14T15:54:44Z,1226,"Egal was man über Frau Wagenknecht denkt und ob man mit ihrer Partei sympathisiert oder nicht. Es beeindruckt mich immer wieder, mit welcher Klarheit und Direktheit sie Dinge ausspricht und diese damit auf den Punkt bringt.",After Founding
35,1495,px3FA_JO4kA,@michaw1030,2025-05-12T16:07:40Z,1222,"War Baerbock ""nur"" diplomatisch peinlich, ist dieser Herr offensichtlich diplomatisch gefährlich. 😐",After Founding
36,1132,xxMllVtVZ_o,@tibor1234,2024-04-12T13:46:25Z,1209,Das Zwischenrufen ist so respektlos. Typisch für die Pfeifen der Ampel.,After Founding
37,287,UkO2fJUbres,@ua7111,2024-05-30T14:37:58Z,1202,"96 Jahre Weisheit - ich wünsche Herrn v.Dohnanyi viel Gesundheit, bleiben Sie uns noch lange erhalten.",After Founding
38,1462,zWWQVeZQHXA,@eygude6237,2024-06-13T13:26:55Z,1172,"Als Ausländer muss ich sagen, hat die Frau zu 100% Recht",After Founding
39,40,Qn-e6dIGpBY,@johnivanali7774,2024-12-27T10:52:23Z,1172,"Lüders als Außenminister würde mir gefallen. Der versteht bei weitem besser, was auf der Welt draußen los ist, als das was wir jetzt gerade haben. Absolut kein Vergleich..",After Founding
40,345,kp1S43yxpXw,@Michi04,2024-05-23T14:34:37Z,1169,"Und das Geld verpufft wie ein  Silvesterfeuerwerk.
Unglaublich!",After Founding
41,346,kp1S43yxpXw,@izida3306,2024-05-23T15:24:30Z,1166,"Frau Bärbock ist 12 Jahre alt im Kopf , Ihre mentale Entwicklung ist stehen geblieben.",After Founding
42,680,5rJaFa-Qv98,@gordonjenner2375,2025-05-22T18:52:05Z,1163,"""Wenn Kriege mit Lügen beginnen können, kann Frieden mit der Wahrheit beginnen."" Julian Assange",After Founding
43,520,DhJt8ptkBS0,@TheIttouKatana,2024-06-06T14:43:54Z,1156,"Ich finde man sollte Smartphones und Tablets im Bundestag verbieten, viele Arbeitgeber machen da ja auch!",After Founding
44,1460,zWWQVeZQHXA,@murat4895,2024-06-13T13:01:02Z,1143,"Als türkischer Muslim mit Migrationsgeschichte, hier geboren und integriert, kann ich Frau Wagenknecht zu 100% zustimmen.",After Founding
45,565,Ql7FFr54A7M,@Gesundermenschenverstand09,2024-06-04T15:05:04Z,1128,"Hätte nie gedacht, dass mich unsere unfähigen und korrupten Politiker dazu bringen, Frau Wagenknecht gut zu finden. Jedes Wort kann ich nur unterstützen!!!",After Founding
46,861,LkbVw4fanIg,@aaronbxy,2024-01-31T17:07:52Z,1111,"Wie schafft man es eigentlich, mit jeder Rede den Nagel auf den Kopf zu treffen? Meine Hochachtung, Frau Wagenknecht! Und je lauter die anderen Fraktionen dagegenplärren, desto richtiger ist der Inhalt der Rede! Ich freue mich darauf, Ihre Partei nach den nächsten Wahlen als eigene Fraktion sehen zu dürfen, dann geht es mit der Politik wieder bergauf!",After Founding
47,412,1ZReSYUx-ng,@ulrichbuete4634,2024-03-20T17:20:58Z,1110,Bleiben Sie bitte standhaft.Diese Scharfmacher müssen weg,After Founding
48,204,-lXMP0RUy5A,@eddastrohmayer251,2024-08-28T14:55:13Z,1100,"Sehr wichtig, dass endlich einmal über die von den USA aufgekündigten Rüstungsverträge gesprochen wurde !  DANKE",After Founding
49,306,bGNp5K8y_j8,@levana2443,2024-05-09T15:50:43Z,1099,"Nie würde ich diesen Typen oder seine Partei, wählen!",After Founding
50,210,-lXMP0RUy5A,@alvisleilei243,2024-08-28T15:14:23Z,1097,Nicht mein Kanzler. Nicht meine Regierung,After Founding
51,933,lT8IvORoyRs,@pe-mi-ru,2024-11-13T18:22:12Z,1095,Das dämliche Grinsen von Herrn BlackRock F.M. zeigt die Verkommenheit von diesen Politikern. Es ekelt mich an!,After Founding
52,1200,R677ZDqI7fo,@veggieman1368,2025-01-31T16:04:25Z,1075,Das Verhalten der Grünen und der SPD war Kindergarten!,After Founding
53,1680,A1a2zsiNQaM,@LikoLiki-r4k,2025-02-19T15:12:15Z,1063,Eins steht fest: die Zweitstimme geht an das BSW! Sahra muss unbedingt in den Bundestag. Jede Stimme zählt!,After Founding
54,924,lT8IvORoyRs,@alianjavi292,2024-11-13T19:20:19Z,1040,Nein zu Friedrich Merz als Kanzler!!! Ja zu Sahra Wagenknecht !,After Founding
55,1080,zCJAwKV08KY,@berndhein2035,2025-09-04T20:01:22Z,1031,"Ich bin fassungslos (70 Jahre alt), mit welcher Leichtigkeit und unsäglicher Naivität unsere politische Klasse von dem Begriff „Krieg“ redet. Mein Vater hat den letzten noch mit erlebt. Ich möchte solche Schlagzeilen nicht lesen, was sind das für Journalisten?",After Founding
56,184,VVXrNSpEwJQ,@gudrunkoerner6335,2024-03-14T14:06:42Z,1030,Super Rede. Respekt Frau Wagenknecht. Die nackte Wahrheit. Es ist nicht mehr  auszuhalten in diesem Irrenhaus Deutschland.,After Founding
57,775,UMwuZMpoMd8,@RagdeResie,2024-12-03T18:09:24Z,1019,"Man sollte genau bedenken bei wem man bei der nächsten Wahl ein Kreuz macht, es könnte das Kreuz auf dem Sarg seines Sohnes, Mannes, Bruders werden.",After Founding
58,792,WS6G3s55PNI,@EveryLara,2025-05-26T18:43:03Z,984,"Dass Merz als Kanzler einen Eid abgelegt hat, Schaden vom deutschen Volk abzuwenden, hat er schneller vergessen, als es Olaf je gekonnt hätte.",After Founding
59,214,-lXMP0RUy5A,@mariokawala7495,2024-08-28T14:48:55Z,971,"das problem in deutschland ist eine bevölkerung die widerstandslos diese politik wählt, mitträgt oder zumindest zusieht.",After Founding
60,1221,CJxNtxYcfEw,@starmo9810,2024-05-07T19:05:01Z,953,Darum sollte die Zwangsgebühr GEZ abgeschafft werden. 🚫💸,After Founding
61,530,DhJt8ptkBS0,@elkeneugebauer9466,2024-06-06T15:52:18Z,943,"Das ist kein Kanzler, kein Vorbild, einfach nichts... Wer nicht einmal soviel Anstand hat zuzuhören, hat diesen Titel nicht verdient.",After Founding
